key	value
PKCD	['MAPK_group', 'PKA_group', 'PKB_group', 'p70S6K_group', 'RSK_group', 'CK2_group', 'IKK_group', 'AMPK_group', 'CaM-KI_group', 'CDK_group']
PKCA	['MAPK_group', 'PKA_group', 'PKB_group', 'RSK_group', 'AMPK_group', 'CaM-KI_group', 'CK2_group', 'PKG/cGK_group', 'IKK_group', 'PHK_group', 'DMPK_group', 'CDK_group', 'CaM-KII_group']
PKCB iso2	['PKA_group', 'PKB_group', 'RSK_group', 'PHK_group']
IRAK4	['PKA_group', 'CK2_group']
PKACA	['PKB_group', 'PKC_group', 'RSK_group', 'PHK_group', 'PKG/cGK_group', 'AMPK_group', 'CaM-KII_group', 'SGK_group', 'CK1_group', 'ROCK_group', 'DAPK_group', 'DMPK_group', 'PAK_group', 'CK2_group', 'GRK_group']
PKCB	['PKA_group', 'PKB_group', 'RSK_group', 'PHK_group', 'MAPK_group', 'CDK_group']
PKCZ	['PKA_group', 'PKB_group', 'RSK_group', 'CK2_group', 'IKK_group', 'CK1_group', 'PHK_group', 'PAK_group']
Akt3	['PKA_group', 'CaM-KII_group', 'SGK_group']
Akt1	['PKA_group', 'p70S6K_group', 'RSK_group', 'PKC_group', 'CaM-KII_group', 'AMPK_group', 'SGK_group', 'PAK_group', 'CDK_group', 'CK2_group', 'GSK-3_group']
p90RSK	['p70S6K_group', 'PKA_group', 'CK2_group', 'IKK_group', 'PKG/cGK_group', 'CaM-KII_group', 'SGK_group', 'AMPK_group', 'PKB_group']
mTOR	['p70S6K_group', 'RSK_group', 'MAPK_group', 'GSK-3_group', 'CDK_group', 'PDK-2']
RSK2	['p70S6K_group', 'PKA_group', 'PKB_group', 'PKC_group', 'CK2_group', 'IKK_group', 'CaM-KII_group', 'SGK_group']
CK2A1	['PKA_group', 'CK1_group', 'MAP2K_group', 'IKK_group', 'CK2_beta', 'PKC_group', 'RSK_group', 'MAPK_group', 'PIK3CA']
ERK1	['CK2_group', 'PKA_group', 'RSK_group', 'AMPK_group', 'JNK_group', 'CDK_group', 'PKC_group', 'MAP2K_group']
P38A	['CK2_group', 'PKA_group', 'RSK_group', 'CDK_group', 'GSK-3_group', 'JNK_group', 'PKC_group']
ILK	['PKA_group']
PRKD1	['PKA_group', 'Titin kinase', 'CaM-KII_group', 'RSK_group', 'SGK_group', 'PKB_group', 'CK2_group', 'MARK_group']
PKG1	['PKA_group', 'DMPK_group']
PKCE	['PKA_group', 'CK2_group', 'CaM-KII_group', 'RSK_group', 'SGK_group', 'IKK_group', 'PHK_group', 'PKB_group']
ROCK2	['PKA_group', 'PKC_group']
DAPK3	['PKA_group', 'PKB_group']
AMPKA1	['PKA_group', 'CaM-KI_group', 'PHK_group', 'CK2_group', 'PKB_group', 'PKG/cGK_group', 'RSK_group', 'CK1_group']
p70S6K	['IKK_group', 'PKA_group', 'PHK_group', 'AMPK_group', 'SGK_group', 'PKB_group']
IKKE	['PKA_group', 'PKB_group', 'PKC_group', 'CK2_group', 'RSK_group']
PKCH	['PKA_group', 'PKB_group', 'RSK_group']
PKCG	['PKA_group', 'PKB_group', 'RSK_group', 'PHK_group']
caMLCK	['PKA_group']
SGK1	['PKB_group', 'PKA_group', 'RSK_group', 'CK2_group', 'IKK_group', 'CaM-KII_group', 'PDK-2']
AurA	['PKA_group', 'RSK_group', 'CK2_group', 'IKK_group', 'CK1_group', 'ROCK_group']
P70S6KB	['PKA_group', 'CaM-KII_group', 'PKC_group', 'AMPK_group']
EEF2K	['PKA_group', 'RSK_group', 'AMPK_group', 'p70S6K_group']
p70S6K iso2	['PKA_group']
SGK3	['PKA_group', 'RSK_group', 'PKB_group']
KHS1	['PKA_group', 'RSK_group']
RSK4	['AMPK_group', 'CaM-KI_group']
PKCI	['AMPK_group', 'CaM-KI_group', 'PHK_group', 'PKA_group', 'RSK_group', 'PKB_group', 'PAK_group']
PKG2	['PKC_group', 'PKB_group', 'PKA_group']
Pim2	['PKB_group']
Pim1	['PKB_group', 'PKA_group', 'RSK_group', 'SGK_group']
LATS2	['PKB_group']
NuaK1	['PKB_group', 'PHK_group', 'AMPK_group']
CAMK2A	['PKC_group', 'Titin kinase', 'PKB_group', 'RSK_group', 'PKA_group', 'PHK_group']
GSK3B	['Titin kinase', 'PHK_group', 'CK2_group', 'MAPK_group', 'RSK_group', 'PKA_group', 'CDK_group']
CDK16	['PKB_group']
KIS	['PKB_group', 'CDK_group', 'MAPK_group']
ERK2	['PKB_group', 'RSK_group', 'PKA_group', 'CDK_group', 'FGFR_group', 'GSK-3_group', 'CK2_group']
CDK6	['PKB_group', 'RSK_group', 'MAPK_group']
HIPK2	['PKB_group', 'MAPK_group']
MAPKAPK2	['RSK_group', 'PKA_group', 'CaM-KII_group', 'AMPK_group', 'SGK_group', 'Eg3 kinase', 'PKB_group', 'PKC_group']
PAK4	['PKA_group', 'ROCK_group']
GRK2	['PKA_group', 'MAPK_group', 'ROCK_group']
DAPK1	['CaM-KII_group', 'CK1_group', 'RSK_group']
Akt2	['CaM-KII_group', 'RSK_group', 'MAPK_group', 'IKK_group']
MAPKAPK5	['CaM-KII_group']
Chk1	['PHK_group', 'CK1_group', 'PKC_group']
Chk2	['PHK_group', 'CK1_group']
BRSK2	['PHK_group', 'AMPK_group', 'PKA_group']
PKR	['PHK_group']
MARK1	['PHK_group']
MARK2	['PHK_group']
GSK3A	['PHK_group', 'MAPK_group']
CDK5	['PHK_group', 'GSK-3_group', 'JNK_group', 'MAPK_group', 'PAK_group']
