protein1	protein2
CDKN3	CDK2
NTRK1	ABL1
JAK3	TIAF1
STK16	NAGK
SRC	ND2
CDK14	SEPT8
CSNK2B	CSNK2A2
CSNK2B	CSNK2B
NEK6	CCDC85B
TLK1	TLK1
PHKB	C20orf27
MVK	MVK
PAK7	LZTS2
CDK18	CCDC85B
PRPSAP1	PRPSAP1
PFKL	KRTAP4-12
PLK4	FAM46C
ZAK	ZNF567
NAGK	NAGK
PRPS1	PRPS1
PDGFRB	KRTAP4-12
PRPSAP1	PLEKHF2
PLK4	PLK4
NME1	NME1
EGFR	CBLB
ERBB3	CSK
EPHA5	STAT3
ZAK	ZAK
ZAK	MAP2K7
TGFBR1	ZAK
GSK3B	GEMIN4
ILK	ACP6
IKBKE	CLTC
IKBKE	DSTYK
GSK3B	DDX20
IKBKE	EPRS
ILK	HEATR1
MAST2	GCN1L1
VRK3	TWF2
PRKAB1	DHX36
IKBKE	ACLY
SGK1	CDC37
SGK1	LTF
IKBKE	ATIC
NEK6	CCAR2
PRKAB1	EZR
STK38L	KRT31
STK16	MKKS
STK16	EBLN2
LRRK1	C9orf163
NEK6	LRPPRC
GSK3B	DHX36
ILK	GEMIN4
ILK	DDX3X
RIPK2	KCTD12
NUAK1	IGHA2
PAK7	S100A9
PAK7	S100A7
ILK	DNAAF5
RIPK2	PHB2
KHK	CDK5RAP3
PAK7	RPA3
BCKDK	RNF219
RIOK3	CALM3
DSTYK	ATP5F1
ILK	AUP1
PAK7	AP2S1
RIOK3	FBL
CDKN2C	QPCTL
RIOK3	PSMB1
ILK	IGF2BP1
PASK	FBL
GSK3B	EWSR1
ILK	COPG1
NEK6	PTPLAD1
PAK7	CCDC59
PRKAB1	MARS
IKBKE	LARS
STK24	DDX5
SGK1	IGHA1
NEK6	FANCI
STK24	HNRNPH3
SGK1	IARS
STK24	PDCD6IP
NEK6	GCN1L1
PRKAB1	MYH10
ILK	DHX36
SGK1	PA2G4
NEK6	KDELR1
STK24	JPH3
IKBKE	HYOU1
ILK	COPB2
RIOK3	PSMC4
SGK1	PIGR
ILK	ERH
NEK6	CDC37
CDC42BPB	BRIX1
MAP3K1	HSP90AA2P
MAP3K3	HSP90AA2P
TBK1	HSP90AA2P
NEK6	MYO1C
NME2	DYNC1H1
NME2	EPPK1
NME2	HIST1H2BC
NME2	LYZ
NME2	HTR1B
NME2	KIF5B
PANK2	LXN
PANK2	DHX36
PRKAR1A	PRKACA
RIOK3	MAGEA6
STK24	HNRNPA3
STK24	FABP5
STK24	DSP
CHEK1	CSNK2A1
ABL1	ABL1
PIK3R1	PIK3R1
ATM	ATM
PRKDC	ATM
ATR	ATR
ATM	MRE11A
ATR	MRE11A
PRKDC	MRE11A
ATR	PIK3CA
IKBKE	HSP90AA2P
TBK1	PPP6R2
TBK1	PPP6R1
AURKB	AURKB
TSSK2	TSSK2
TRPM7	TRPM7
TRPM7	HIST3H3
TRPM7	MBP
EGFR	EGFR
ERBB2	ERBB2
STK39	AATK
MAP2K1	KSR2
MAP3K8	KSR2
MKNK2	MAPK1
ADRBK1	GNAQ
ADRBK1	GNA15
RPS6KA1	MAPK3
RPS6KA1	MAPK1
RPS6KA2	MAPK3
RPS6KA2	MAPK1
DGKH	DGKH
DGKH	DGKD
BCR	MLLT4
IGF1R	GRB10
ADRBK1	PRKCB
PRKAR2A	AKAP2
PRKCE	HK2
ERN1	ERN1
PRKAR1B	PRKAR1B
PRKAR1A	PRKAR1A
SGK1	CAMKK2
ADRBK1	PDE6G
ADRBK1	SRC
TRRAP	EP400
CSNK2A1	BRF1
CSNK2A2	BRF1
CSNK2A1	XKRY
RPS6KA5	MAPK1
RPS6KA5	MAPK11
SGK223	CHGB
SGK223	PSAP
FGFR3	BORA
FGFR3	CCDC17
MARK3	CHGB
STK40	POLA2
NRBP1	LRIF1
RPS6KA6	NR4A1
PBK	GPRASP1
ULK2	POLA2
CDKN2B	IKBKAP
CDKN2B	CCDC90B
CDKN2C	APLP1
CDKN2C	CCDC90B
FGFR3	ATF3
FGFR3	ARAP1
FGFR3	CHGB
GTF2F1	FEZ1
MAPK9	ACP5
STK40	COPS6
PFKL	COPS6
TBRG4	PTN
TK1	GDF9
TK1	CCDC90B
TK1	PTPRK
PBK	KIAA1377
UCK1	UCK1
ULK2	NASP
TRIB3	COPS6
TRIB3	GDF9
TRIB3	GIT1
TRIB3	SETDB1
CDK4	BAG6
CDKN2B	KIAA1377
FGFR3	KIAA1377
MAPK9	KIAA1377
PAK4	DLST
TK1	APLP1
TK1	C14orf1
TK1	COPS6
TK1	RBM48
TK1	DRAP1
TK1	SETDB1
PBK	GPS2
ULK2	LUC7L2
ULK2	SETDB1
