partner_a	partner_b	protein_name_a	protein_name_b
P22455	Q03167	FGFR4	TGBR3
P21980	Q9Y653	TGM2	AGRG1
Q15389	Q02763	ANGP1	TIE2
O15123	Q02763	ANGP2	TIE2
Q9Y264	Q02763	ANGP4	TIE2
O43921	P21709	EFNA2	EPHA1
O43921	P29322	EFNA2	EPHA8
P52797	P21709	EFNA3	EPHA1
P52797	P29322	EFNA3	EPHA8
P52798	P21709	EFNA4	EPHA1
P52803	P21709	EFNA5	EPHA1
P98172	P54764	EFNB1	EPHA4
P98172	P54760	EFNB1	EPHB4
P98172	O15197	EFNB1	EPHB6
Q15768	P54762	EFNB3	EPHB1
Q15768	P29323	EFNB3	EPHB2
Q15768	P54760	EFNB3	EPHB4
Q15768	O15197	EFNB3	EPHB6
P06734	P21802	FCER2	FGFR2
P13591	P11362	NCAM1	FGFR1
P17931	Q12866	LEG3	MERTK
Q14393	P30530	GAS6	UFO
Q6ZMJ4	P07333	IL34	CSF1R
P21741	Q9UM73	MK	ALK
Q9HB63	Q16620	NET4	NTRK2
P21246	Q9UM73	PTN	ALK
P58294	Q8TCW9	PROK1	PKR1
Q9HC23	Q8TCW9	PROK2	PKR1
P41221	Q01973	WNT5A	ROR1
P41221	Q01974	WNT5A	ROR2
P49771	P36888	FLT3L	FLT3
P21583	P10721	SCF	KIT
P26927	Q04912	HGFL	RON
O00294	Q06418	TULP1	TYRO3
P34741	P22455	SDC2	FGFR4
P01138	P04629	NGF	NTRK1
P09603	P07333	CSF1	CSF1R
P52803	P29323	EFNA5	EPHB2
P98172	P29317	EFNB1	EPHA2
P52799	P54764	EFNB2	EPHA4
Q15768	P54764	EFNB3	EPHA4
P15514	P00533	AREG	EGFR
P35070	P00533	BTC	EGFR
P01133	P00533	EGF	EGFR
Q6UW88	P00533	EPGN	EGFR
Q99075	P04626	HBEGF	ERBB2
P21781	P21802	FGF7	FGFR2
Q14393	Q12866	GAS6	MERTK
Q14393	Q06418	GAS6	TYRO3
P35070	P21860	BTC	ERBB3
P35070	Q15303	BTC	ERBB4
P01308	P06213	INS	INSR
P05019	P08069	IGF1	IGF1R
P20783	P04629	NTF3	NTRK1
P20783	Q16620	NTF3	NTRK2
P20783	Q16288	NTF3	NTRK3
P34130	Q16620	NTF4	NTRK2
P14210	P08581	HGF	MET
