partner_a	partner_b	protein_name_a	protein_name_b
P22455	Q03167	FGFR4	TGBR3
P21980	Q9Y653	TGM2	AGRG1
Q15389	Q02763	ANGP1	TIE2
O15123	Q02763	ANGP2	TIE2
Q9Y264	Q02763	ANGP4	TIE2
P01138	P04629	NGF	NTRK1
P09603	P07333	CSF1	CSF1R
P20827	P21709	EFNA1	EPHA1
P20827	P29317	EFNA1	EPHA2
P20827	P29320	EFNA1	EPHA3
P20827	P54764	EFNA1	EPHA4
P20827	P54756	EFNA1	EPHA5
P20827	Q15375	EFNA1	EPHA7
P20827	P29322	EFNA1	EPHA8
O43921	P21709	EFNA2	EPHA1
O43921	P29317	EFNA2	EPHA2
O43921	P29320	EFNA2	EPHA3
O43921	P54764	EFNA2	EPHA4
O43921	P54756	EFNA2	EPHA5
O43921	P29322	EFNA2	EPHA8
P52797	P21709	EFNA3	EPHA1
P52797	P29317	EFNA3	EPHA2
P52797	P29320	EFNA3	EPHA3
P52797	P54764	EFNA3	EPHA4
P52797	P54756	EFNA3	EPHA5
P52797	Q15375	EFNA3	EPHA7
P52797	P29322	EFNA3	EPHA8
P52798	P21709	EFNA4	EPHA1
P52798	P29317	EFNA4	EPHA2
P52798	P29320	EFNA4	EPHA3
P52798	P54764	EFNA4	EPHA4
P52798	P54756	EFNA4	EPHA5
P52798	Q15375	EFNA4	EPHA7
P52798	P29322	EFNA4	EPHA8
P52803	P21709	EFNA5	EPHA1
P52803	P29317	EFNA5	EPHA2
P52803	P29320	EFNA5	EPHA3
P52803	P54764	EFNA5	EPHA4
P52803	P54756	EFNA5	EPHA5
P52803	Q15375	EFNA5	EPHA7
P52803	P29322	EFNA5	EPHA8
P52803	P29323	EFNA5	EPHB2
P98172	P29317	EFNB1	EPHA2
P98172	P54764	EFNB1	EPHA4
P98172	P54762	EFNB1	EPHB1
P98172	P29323	EFNB1	EPHB2
P98172	P54760	EFNB1	EPHB4
P98172	O15197	EFNB1	EPHB6
P52799	P54764	EFNB2	EPHA4
P52799	P54762	EFNB2	EPHB1
P52799	P54753	EFNB2	EPHB3
P52799	P54760	EFNB2	EPHB4
P52799	O15197	EFNB2	EPHB6
Q15768	P54764	EFNB3	EPHA4
Q15768	P54762	EFNB3	EPHB1
Q15768	P29323	EFNB3	EPHB2
Q15768	P54753	EFNB3	EPHB3
Q15768	P54760	EFNB3	EPHB4
Q15768	O15197	EFNB3	EPHB6
P15514	P00533	AREG	EGFR
P35070	P00533	BTC	EGFR
P01133	P00533	EGF	EGFR
O14944	P00533	EREG	EGFR
O14944	Q15303	EREG	ERBB4
Q99075	P00533	HBEGF	EGFR
Q99075	P04626	HBEGF	ERBB2
Q99075	Q15303	HBEGF	ERBB4
P06734	P21802	FCER2	FGFR2
P05230	P11362	FGF1	FGFR1
P05230	P21802	FGF1	FGFR2
P05230	P22607	FGF1	FGFR3
P05230	P22455	FGF1	FGFR4
O15520	P21802	FGF10	FGFR2
O60258	P22607	FGF17	FGFR3
P09038	P11362	FGF2	FGFR1
Q9NP95	P22607	FGF20	FGFR3
Q9HCT0	P21802	FGF22	FGFR2
P11487	P21802	FGF3	FGFR2
P08620	P11362	FGF4	FGFR1
P12034	P11362	FGF5	FGFR1
P10767	P11362	FGF6	FGFR1
P21781	P21802	FGF7	FGFR2
P55075	P22607	FGF8	FGFR3
P31371	P22607	FGF9	FGFR3
P13591	P11362	NCAM1	FGFR1
P17931	Q12866	LEG3	MERTK
Q14393	P30530	GAS6	UFO
Q14393	Q12866	GAS6	MERTK
Q14393	Q06418	GAS6	TYRO3
P35070	P21860	BTC	ERBB3
P35070	Q15303	BTC	ERBB4
P01308	P06213	INS	INSR
P05019	P08069	IGF1	IGF1R
P01344	P08069	IGF2	IGF1R
Q6ZMJ4	P07333	IL34	CSF1R
P21741	Q9UM73	MK	ALK
Q9HB63	Q16620	NET4	NTRK2
Q02297	P21860	NRG1	ERBB3
Q02297	Q15303	NRG1	ERBB4
O14511	P21860	NRG2	ERBB3
O14511	Q15303	NRG2	ERBB4
P56975	Q15303	NRG3	ERBB4
Q8WWG1	Q15303	NRG4	ERBB4
P21246	Q9UM73	PTN	ALK
P58294	Q8TCW9	PROK1	PKR1
Q9HC23	Q8TCW9	PROK2	PKR1
P01135	P00533	TGFA	EGFR
P41221	Q01973	WNT5A	ROR1
P41221	Q01974	WNT5A	ROR2
P49771	P36888	FLT3L	FLT3
P14210	P08581	HGF	MET
P21583	P10721	SCF	KIT
P26927	Q04912	HGFL	RON
O00294	Q06418	TULP1	TYRO3
P34741	P22455	SDC2	FGFR4
P23560	Q16620	BDNF	NTRK2
Q6UW88	P00533	EPGN	EGFR
P20783	P04629	NTF3	NTRK1
P20783	Q16620	NTF3	NTRK2
P20783	Q16288	NTF3	NTRK3
P34130	Q16620	NTF4	NTRK2
Q13332	Q16288	PTPRS	NTRK3
P52799	P29323	EFNB2	EPHB2
