source	target
PIK3CA	IRS1
PIK3CA	PIK3R1
SRPK1	ACIN1
SRPK1	RPLP0
SRPK1	RPL5
SRPK1	MTDH
SRPK1	DDX50
STK11	CAB39
STK11	CDC37
STK11	STRADB
STK11	FKBP5
STK11	ARAF
CHEK2	PUM3
CHEK2	PABPC4
CHEK2	TOP2B
CHEK2	DDX21
CHEK2	NOC3L
CHEK2	HP1BP3
CDK4	CDK5
ARAF	MSH2
AKT3	CHEK2
CDK6	CDK1
CDK6	CDK4
AKT1	CDC37
AKT1	AKT2
PRPF4B	SRSF6
PRPF4B	SRRM1
PRPF4B	RPL18A
PRPF4B	RPL4
PRPF4B	RBM34
PRPF4B	ZC3HAV1
CDK2	CDK5
CDK2	CCNB2
CDK2	CCNB1
CDK2	CDK1
CDK2	CDK4
CDK2	CDK6
GAK	CLINT1
CDK1	CDK4
CTCF	DCAF1
HRAS	ARAF
HRAS	RAF1
HRAS	CDK5
TP53	CSNK2A2
CDKN1B	CDK4
CDKN1B	CDK5
CCND3	CDK4
CCND3	CDK6
CCND3	CDK5
CCND3	CDK2
CCND3	CDK1
CCNB2	CDK1
FKBP5	ARAF
SUPT5H	CSNK2A2
FXR2	CHEK2
IRS1	PIK3R1
CCNA2	CDK1
CCNA2	CDK4
CDKN1A	CDK2
CDKN1A	CDK5
BRIX1	CHEK2
DDX54	CHEK2
DHX30	PRPF4B
DHX30	CHEK2
STAU1	CHEK2
NOP2	SRPK1
DKC1	PRPF4B
FMR1	CHEK2
DDX27	PRPF4B
RBM34	CHEK2
PIK3R2	PIK3R1
CDKN1C	CDK2
XRCC6	CHEK2
RPL7A	SRPK1
PDCD11	CHEK2
XRCC5	CHEK2
FXR1	CHEK2
CCND1	CDK1
PIK3R3	PIK3R1
PIK3CA	ZG16B
PIK3CA	IGKC
PIK3CA	PRR4
PIK3CA	APOA1
PIK3CA	LTF
PIK3CA	ANXA5
PIK3CA	DSC1
PIK3CA	IGHA1
PIK3CA	SCGB2A1
PIK3CA	IGHG1
PIK3CA	PIK3R2
PIK3CA	ANXA1
PIK3CA	MUC5B
PIK3CA	PIGR
PIK3CA	BPIFA1
PIK3CA	BPIFB1
PIK3CA	PIP
PIK3CA	PIK3R3
SRPK1	PRPF4B
SRPK1	RBM34
STK11	COPS7B
STK11	IVD
STK11	ALDH18A1
STK11	LPP
STK11	COPS5
STK11	IARS2
STK11	GARS
STK11	PKP4
STK11	AJUBA
STK11	LOXL2
STK11	COPS2
STK11	COPS3
STK11	HK1
STK11	PLEKHA7
STK11	COPS7A
STK11	COPS4
STK11	STRADA
STK11	GPS1
STK11	COPS6
STK11	CUL2
STK11	MMS19
STK11	COPS8
STK11	RIC8A
STK11	FKBP4
CHEK2	MKI67
CHEK2	MYH10
CHEK2	MYO6
CHEK2	RRS1
CHEK2	SPECC1L
CHEK2	MYO5B
CHEK2	SPTBN2
CHEK2	SIPA1L3
CHEK2	HEATR6
CHEK2	DCAF13
CHEK2	GPATCH4
CHEK2	DARS
CHEK2	MPRIP
CHEK2	SVIL
CHEK2	RBM28
CHEK2	RAI14
CHEK2	SPECC1
CHEK2	PPM1G
CHEK2	CD3EAP
CHEK2	PWP1
CHEK2	ACTR2
CHEK2	MYO1B
AKT2	DSTN
AKT2	LMAN2
ARAF	CDC37
ARAF	RAF1
AKT3	CHP1
AKT3	KRT32
AKT3	AKT2
AKT3	NSF
AKT3	S100A3
EGFR	CLIC4
EGFR	FKBP5
EGFR	HYOU1
EGFR	IARS2
EGFR	BASP1
EGFR	ACO2
EGFR	LONP1
EGFR	ANXA5
EGFR	SERPINB5
EGFR	UGGT1
EGFR	RPSA
EGFR	TPP2
EGFR	PA2G4
EGFR	ENO1
EGFR	ANXA11
EGFR	FUBP1
EGFR	XRCC5
CDK6	CDK5
AKT1	S100A3
AKT1	KRT32
AKT1	SPRR3
AKT1	CSTB
AKT1	CRNN
AKT1	IGF2R
GAK	SEC24C
ERBB2	DSG2
CTCF	SRPK1
HRAS	DTYMK
MTDH	SRPK1
MTDH	MVK
MTDH	PRPF4B
TP53	GAK
CDKN1B	CDK2
CDH1	TK1
ESR1	NUAK1
ESR1	BMP2K
SMARCB1	PI4KA
RAD51D	ARAF
CDKN1B	CDK6
CDKN1B	CDK1
CCNA2	CDK2
CCNE1	CDK1
CCNE1	CDK2
CDKN1A	CDK4
CDKN1A	CDK6
CCNB1	CDK1
CDKN1B	CDK16
