protein1	protein2
AAK1	ACTB
AAK1	AHCY
AAK1	ANLN
AAK1	AREG
AAK1	ARPC1A
AAK1	ARPC1B
AAK1	ARPC2
AAK1	ARPC4
AAK1	ARPC5
AAK1	AVPR2
AAK1	BTC
AAK1	CD3D
AAK1	CD3G
AAK1	CD4
AAK1	CDH1
AAK1	CFTR
AAK1	CLTC
AAK1	CTTN
AAK1	DYNLT1
AAK1	EGFR
AAK1	EPGN
AAK1	EREG
AAK1	ESR1
AAK1	GAK
AAK1	HBEGF
AAK1	IGF2R
AAK1	IL7R
AAK1	KIAA0319
AAK1	LDLRAP1
AAK1	LRP2
AAK1	M6PR
AAK1	MYC
AAK1	NAPA
AAK1	NAPG
AAK1	NTRK1
AAK1	PHGDH
AAK1	PLEKHA1
AAK1	PLEKHA2
AAK1	PRNP
AAK1	PTPN13
AAK1	RPN1
AAK1	RPRD1B
AAK1	RPSA
AAK1	RSPRY1
AAK1	SAFB
AAK1	SCARB2
AAK1	SDC4
AAK1	SEC13
AAK1	SEC23A
AAK1	SEH1L
AAK1	SEMA7A
AAK1	SEPHS1
AAK1	SERPINH1
AAK1	SETD1A
AAK1	SET
AAK1	SF1
AAK1	SFPQ
AAK1	SGF29
AAK1	SH3GL1
AAK1	SHKBP1
AAK1	SIPA1L3
AAK1	SLBP
AAK1	SLC18A3
AAK1	SLC2A8
AAK1	SMN1
AAK1	SMN2
AAK1	SMTN
AAK1	SNRNP70
AAK1	SNW1
AAK1	SORBS1
AAK1	SORBS2
AAK1	SPINT1
AAK1	SPTAN1
AAK1	SPTBN1
AAK1	SQSTM1
AAK1	SRC
AAK1	SRRM2
AAK1	SRRT
AAK1	SSR1
AAK1	STOML2
AAK1	SYT11
AAK1	SYT2
AAK1	SYT8
AAK1	SYT9
AAK1	TCTE1
AAK1	TF
AAK1	TGFA
AAK1	VAMP2
AAK1	VAMP3
AAK1	VAMP4
AAK1	VAMP7
AAK1	VAMP8
AAK1	XPO1
AATK	BDKRB2
AATK	CDK5R1
AATK	PTPN20
ABL1	ACAP1
ABL1	ACE2
ABL1	ADAM17
ABL1	ADAM9
ABL1	AHSG
ABL1	AKAP6
ABL1	ANKRA2
ABL1	ANXA1
ABL1	APOL5
ABL1	ATF1
ABL1	ATM
ABL1	ATR
ABL1	BCR
ABL1	BGLAP
ABL1	C6
ABL1	CAST
ABL1	CCKBR
ABL1	CDC73
ABL1	CDK4
ABL1	CDK6
ABL1	CDKL5
ABL1	CHCHD2
ABL1	CNTFR
ABL1	CNTNAP1
ABL1	CSMD2
ABL1	CUL7
ABL1	CYFIP2
ABL1	CYP4F2
ABL1	DKKL1
ABL1	DLGAP2
ABL1	DLGAP3
ABL1	DLX4
ABL1	DNASE1L2
ABL1	EFS
ABL1	EPB41L3
ABL1	F2RL2
ABL1	FAM110A
ABL1	FGFR1OP
ABL1	FLT3
ABL1	FOXF2
ABL1	FYB1
ABL1	FYN
ABL1	GABBR1
ABL1	GNS
ABL1	GPR45
ABL1	GSX2
ABL1	GTF2IRD1
ABL1	HDC
ABL1	HEXA
ABL1	HMGCS1
ABL1	HNRNPR
ABL1	HRH1
ABL1	HRH2
ABL1	HRH3
ABL1	HRH4
ABL1	IL12A
ABL1	IL12B
ABL1	KIT
ABL1	KRT31
ABL1	LCK
ABL1	LRP2
ABL1	LRRK2
ABL1	MAP4K5
ABL1	MEPE
ABL1	MET
ABL1	MIA2
ABL1	MTOR
ABL1	MUC5AC
ABL1	MYC
ABL1	MYLK
ABL1	NBEA
ABL1	NCKAP5
ABL1	NEK8
ABL1	NFS1
ABL1	NPVF
ABL1	NXPH3
ABL1	PACSIN1
ABL1	PAK2
ABL1	PCDHA7
ABL1	PDGFRB
ABL1	PKM
ABL1	PLEKHG2
ABL1	PLK1
ABL1	POLR2A
ABL1	PRICKLE3
ABL1	PRKD1
ABL1	PRSS21
ABL1	PRX
ABL1	RBM39
ABL1	ROS1
ABL1	RPP38
ABL1	RTL8C
ABL1	RTN4
ABL1	SEC61B
ABL1	SEMA7A
ABL1	SF3B4
ABL1	SH3BP1
ABL1	SHANK3
ABL1	SLC18A2
ABL1	SLC22A3
ABL1	SLC24A1
ABL1	SNX17
ABL1	SNX3
ABL1	SNX8
ABL1	SOS1
ABL1	SPTLC1
ABL1	ST5
ABL1	STK3
ABL1	STX17
ABL1	TBX21
ABL1	TGOLN2
ABL1	TMEM74B
ABL1	TRIM25
ABL1	TRIM39
ABL1	TSKS
ABL1	TULP4
ABL1	WNK2
ABL1	ZAP70
ABL2	AXL
ABL2	BCR
ABL2	CEBPB
ABL2	DNM1
ABL2	DNM2
ABL2	EGFR
ABL2	EPHA4
ABL2	EPHB2
ABL2	ERBB2
ABL2	ERBB3
ABL2	FLT3
ABL2	FYN
ABL2	HDAC6
ABL2	JAK1
ABL2	KIT
ABL2	LGALS3
ABL2	LRRK2
ABL2	MAP3K10
ABL2	MED28
ABL2	MET
ABL2	MPIG6B
ABL2	MTSS1
ABL2	NEDD4L
ABL2	NEDD4
ABL2	NPHP4
ABL2	NTRK1
ABL2	ONECUT1
ABL2	PDGFRB
ABL2	PKM
ABL2	SRC
ABL2	TRIM25
ABL2	WRAP73
ACVR1	AJUBA
ACVR1	AKT2
ACVR1	AKT3
ACVR1	AP2B1
ACVR1	ARL13B
ACVR1B	ACVR2B
ACVR1B	AKT1
ACVR1B	AKT2
ACVR1B	AKT3
ACVR1B	BMPR2
ACVR1B	ELAVL1
ACVR1B	HEPACAM2
ACVR1B	MAP3K7CL
ACVR1B	MAP3K7
ACVR1B	MXD4
ACVR1B	NLK
ACVR1B	NTRK1
ACVR1B	SPINT2
ACVR1B	TGFBR1
ACVR1B	TGFBR2
ACVR1B	TMEM30A
ACVR1C	MAP3K7CL
ACVR1C	MAP3K7
ACVR1C	SUGT1
ACVR1	DCAF6
ACVR1	DUSP12
ACVR1	DUSP13
ACVR1	FANCL
ACVR1	FBXO30
ACVR1	FBXO44
ACVR1	IKBKB
ACVR1	KLHL35
ACVR1	MAP3K7CL
ACVR1	MAP3K7
ACVR1	NAA20
ACVR1	NKIRAS1
ACVR1	NUAK2
ACVR1	ONECUT1
ACVR1	PLEKHB1
ACVR1	PLEKHJ1
ACVR1	PLEK
ACVR1	RHOBTB1
ACVR1	SQSTM1
ACVR1	STX8
ACVR1	TOMM34
ACVR1	TTC17
ACVR1	TTC27
