#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AAK1	ADCK2	9606.ENSP00000386456	9606.ENSP00000072869	0	0	0	0	0.062	0	0	0.518	0.529
AAK1	ADCK1	9606.ENSP00000386456	9606.ENSP00000238561	0	0	0	0	0.066	0	0	0.527	0.540
AAK1	GAK	9606.ENSP00000386456	9606.ENSP00000314499	0	0	0	0.615	0.065	0.455	0	0.776	0.625
AAK1	PIP4K2A	9606.ENSP00000386456	9606.ENSP00000365757	0	0	0	0	0.076	0	0	0.508	0.526
AAK1	PIP5K1C	9606.ENSP00000386456	9606.ENSP00000466363	0	0	0	0	0.076	0	0	0.460	0.480
AATK	STK39	9606.ENSP00000324196	9606.ENSP00000348278	0	0	0	0.558	0.062	0.213	0	0.832	0.511
AATK	CDK5	9606.ENSP00000324196	9606.ENSP00000419782	0	0	0	0	0.062	0.270	0	0.670	0.755
ABL1	EPHA8	9606.ENSP00000361423	9606.ENSP00000166244	0	0	0	0.605	0	0	0.800	0.202	0.813
ABL1	MAPK12	9606.ENSP00000361423	9606.ENSP00000215659	0	0	0	0.594	0.062	0.148	0.600	0.158	0.669
ABL1	MAPK1	9606.ENSP00000361423	9606.ENSP00000215832	0	0	0	0.587	0.062	0.148	0	0.857	0.459
ABL1	MAPK14	9606.ENSP00000361423	9606.ENSP00000229795	0	0	0	0.623	0.062	0.148	0.600	0.461	0.709
ABL1	KALRN	9606.ENSP00000361423	9606.ENSP00000240874	0	0	0	0	0.110	0.330	0	0.226	0.498
ABL1	FLT3	9606.ENSP00000361423	9606.ENSP00000241453	0	0	0	0.600	0	0.201	0	0.710	0.424
ABL1	CDK4	9606.ENSP00000361423	9606.ENSP00000257904	0	0	0	0.608	0.062	0.072	0.900	0.487	0.922
ABL1	BLK	9606.ENSP00000361423	9606.ENSP00000259089	0	0	0	0.879	0	0	0.900	0.656	0.907
ABL1	PDGFRB	9606.ENSP00000361423	9606.ENSP00000261799	0	0	0	0.579	0.089	0.331	0.900	0.683	0.952
ABL1	PIK3C3	9606.ENSP00000361423	9606.ENSP00000262039	0	0	0	0	0.062	0.104	0	0.654	0.684
ABL1	CSNK2A2	9606.ENSP00000361423	9606.ENSP00000262506	0	0	0	0	0.056	0.067	0	0.442	0.466
ABL1	PIK3CA	9606.ENSP00000361423	9606.ENSP00000263967	0	0	0	0	0.062	0.104	0	0.520	0.561
ABL1	CHKA	9606.ENSP00000361423	9606.ENSP00000265689	0	0	0	0	0.062	0.133	0	0.335	0.412
